"Project Number","Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued"
SR0617-000,Onstryv,safinamide,"Parkinson's disease","Do not reimburse",Complete,"May 29, 2019","Mar 25, 2020"
PC0245-000,Onureg,azacitidine,"Acute myeloid leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Mar 1, 2021","Oct 1, 2021"
PC0303-000,Opdivo,nivolumab,"Resectable Non-Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Sep 13, 2022","Mar 30, 2023"
PC0253-000,Opdivo,nivolumab,"Esophageal or gastroesophageal junction cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jul 7, 2021","Jan 26, 2022"
PC0272-000,Opdivo,nivolumab,"Urothelial carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Feb 22, 2022","Sep 28, 2022"
PC0259-000,Opdivo,nivolumab,"Gastric, gastroesophageal junction, or esophageal adenocarcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 18, 2021","Mar 4, 2022"
PC0069-000,Opdivo,Nivolumab,"Metastatic non small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,,"Jun 3, 2016"
PC0063-000,Opdivo,Nivolumab,"Metastatic Melanoma","Reimburse with clinical criteria and/or conditions",Complete,,"Apr 1, 2016"
PC0074-000,Opdivo,Nivolumab,"Metastatic Renal Cell Carcinoma","Reimburse with clinical criteria and/or conditions",Complete,,"Sep 1, 2016"
PC0134-000,Opdivo,Nivolumab,"Metastatic Hepatocellular Carcinoma (HCC)","Do not reimburse",Complete,,"Nov 29, 2018"
PC0339-000,Opdivo,nivolumab,"Stage IIB or IIC melanoma, adjuvant","Reimburse with clinical criteria and/or conditions",Complete,"Nov 6, 2023","May 29, 2024"
PC0095-000,Opdivo,Nivolumab,"Squamous Cell Carcinoma of Head and Neck (SCCHN)","Reimburse with clinical criteria and/or conditions",Complete,,"Aug 31, 2017"
PC0120-000,Opdivo,Nivolumab,"classical Hodgkin Lymphoma (cHL) after failure of ASCT","Reimburse with clinical criteria and/or conditions",Complete,,"May 3, 2018"
